Season,GameNum,Date,HomeAbbr,AwayAbbr,HomeScore,AwayScore,BoxScoreSlug
1885,1,1885-03-30,CIN,BRO,11,7,1-bro-cin
1885,2,1885-03-31,CIN,BRO,13,10,2-bro-cin
1885,3,1885-04-01,CIN,BRO,3,2,3-bro-cin
1885,4,1885-04-02,CIN,BRO,4,2,4-bro-cin
1885,5,1885-04-03,CIN,BRO,4,2,5-bro-cin
1885,6,1885-04-04,CIN,BLN,7,1,6-bln-cin
1885,7,1885-04-06,CIN,BLN,10,13,7-bln-cin
1885,8,1885-04-07,CIN,BLN,11,3,8-bln-cin
1885,9,1885-04-08,CIN,BLN,7,1,9-bln-cin
1885,10,1885-04-09,CIN,BLN,6,9,10-bln-cin
1885,11,1885-04-10,STL,CIN,1,2,11-cin-stl
1885,12,1885-04-11,STL,CIN,9,7,12-cin-stl
1885,13,1885-04-13,STL,CIN,8,4,13-cin-stl
1885,14,1885-04-14,STL,CIN,5,3,14-cin-stl
1885,15,1885-04-15,STL,CIN,3,5,15-cin-stl
1885,16,1885-04-16,CIN,LOU,14,9,16-lou-cin
1885,17,1885-04-17,CIN,LOU,2,1,17-lou-cin
1885,18,1885-04-18,CIN,LOU,6,2,18-lou-cin
1885,19,1885-04-20,CIN,LOU,9,1,19-lou-cin
1885,20,1885-04-21,CIN,LOU,14,17,20-lou-cin
1885,21,1885-04-22,PAT,CIN,4,7,21-cin-pat
1885,22,1885-04-23,PAT,CIN,11,13,22-cin-pat
1885,23,1885-04-24,PAT,CIN,1,6,23-cin-pat
1885,24,1885-04-25,PAT,CIN,6,13,24-cin-pat
1885,25,1885-04-27,PAT,CIN,3,11,25-cin-pat
1885,26,1885-04-28,BRO,CIN,1,17,26-cin-bro
1885,27,1885-04-29,BRO,CIN,7,5,27-cin-bro
1885,33,1885-05-06,BLN,CIN,3,5,
1885,34,1885-05-07,BLN,CIN,4,5,
1885,35,1885-05-08,BLN,CIN,2,6,
1885,36,1885-05-09,CIN,STL,1,4,
1885,37,1885-05-11,CIN,STL,5,14,
1885,38,1885-05-12,CIN,STL,0,4,
1885,39,1885-05-13,CIN,STL,5,4,
1885,40,1885-05-14,CIN,STL,6,4,
1885,41,1885-05-15,LOU,CIN,3,7,
1885,42,1885-05-16,LOU,CIN,3,2,
1885,43,1885-05-18,LOU,CIN,3,9,
1885,44,1885-05-19,LOU,CIN,6,5,
1885,45,1885-05-20,LOU,CIN,8,10,
1885,46,1885-05-21,CIN,PAT,9,11,
