Season,GameNum,Date,HomeAbbr,AwayAbbr,HomeScore,AwayScore,BoxScoreSlug
1886,1,1886-03-29,CLV,CHC,0,14,1-chc-clv
1886,1,1886-03-29,PHI,PIT,4,5,1-pit-phi
1886,1,1886-03-29,NYG,BSN,3,5,1-bsn-nyg
1886,1,1886-03-29,CIN,LOU,4,6,1-lou-cin
1886,1,1886-03-29,BRO,BLN,3,11,1-bln-bro
1886,1,1886-03-29,STL,PAT,4,6,1-pat-stl
1886,2,1886-03-30,CLV,CHC,6,7,2-chc-clv
1886,2,1886-03-30,PHI,PIT,3,7,2-pit-phi
1886,2,1886-03-30,NYG,BSN,7,9,2-bsn-nyg
1886,2,1886-03-30,CIN,LOU,5,8,2-lou-cin
1886,2,1886-03-30,BRO,BLN,2,10,2-bln-bro
1886,2,1886-03-30,STL,PAT,4,7,2-pat-stl
1886,3,1886-03-31,CLV,CHC,0,7,3-chc-clv
1886,3,1886-03-31,PHI,PIT,7,0,3-pit-phi
1886,3,1886-03-31,NYG,BSN,2,5,3-bsn-nyg
1886,3,1886-03-31,CIN,LOU,6,7,3-lou-cin
1886,3,1886-03-31,BRO,BLN,13,12,3-bln-bro
1886,3,1886-03-31,STL,PAT,10,9,3-pat-stl
1886,4,1886-04-01,CLV,CHC,1,5,4-chc-clv
1886,4,1886-04-01,PHI,PIT,4,7,4-pit-phi
1886,4,1886-04-01,NYG,BSN,5,7,4-bsn-nyg
1886,4,1886-04-01,CIN,LOU,3,8,4-lou-cin
1886,4,1886-04-01,BRO,BLN,1,6,4-bln-bro
1886,4,1886-04-01,STL,PAT,6,8,4-pat-stl
1886,5,1886-04-02,CLV,CHC,10,5,5-chc-clv
1886,5,1886-04-02,PHI,PIT,4,1,5-pit-phi
1886,5,1886-04-02,NYG,BSN,5,7,5-bsn-nyg
1886,5,1886-04-02,CIN,LOU,8,12,5-lou-cin
1886,5,1886-04-02,BRO,BLN,7,9,5-bln-bro
1886,5,1886-04-02,STL,PAT,6,9,5-pat-stl
1886,6,1886-04-03,CLV,CHC,,,
1886,6,1886-04-03,PHI,PIT,,,
1886,6,1886-04-03,NYG,BSN,,,
1886,6,1886-04-03,CIN,LOU,,,
1886,6,1886-04-03,BRO,BLN,,,
1886,6,1886-04-03,STL,PAT,,,
1886,7,1886-04-05,BSN,PIT,,,
